Lidar Time,Height (cm),Log Format,GPS UTC Time,Latitude,Latitude Direction,Longitude,Longitude Direction,GPS Quality Indicator,# sats,hdop,alt,a-units,undulation,u-units,age,stn ID & Check Sum
17:20:43.485752,80,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.486845,81,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.487906,81,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.488984,80,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.490060,81,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.491303,81,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.492387,81,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.493514,80,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.494595,81,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.495692,81,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.497067,81,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.499333,80,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.502087,81,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.505099,81,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.506159,80,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:43.506978,80,$GPGGA,212043.00,4226.86514169,N,07628.54719188,W,2,12,1.5,306.447,M,-34.038,M,7.0,0131*73
17:20:44.398332,81,$GPGGA,212044.00,4226.86514356,N,07628.54719865,W,2,12,1.5,306.437,M,-34.038,M,6.0,0131*76
17:20:44.463944,81,$GPGGA,212044.00,4226.86514356,N,07628.54719865,W,2,12,1.5,306.437,M,-34.038,M,6.0,0131*76
17:20:44.533515,81,$GPGGA,212044.00,4226.86514356,N,07628.54719865,W,2,12,1.5,306.437,M,-34.038,M,6.0,0131*76
17:20:44.599100,81,$GPGGA,212044.00,4226.86514356,N,07628.54719865,W,2,12,1.5,306.437,M,-34.038,M,6.0,0131*76
17:20:44.668734,81,$GPGGA,212044.00,4226.86514356,N,07628.54719865,W,2,12,1.5,306.437,M,-34.038,M,6.0,0131*76
17:20:44.734335,80,$GPGGA,212044.00,4226.86514356,N,07628.54719865,W,2,12,1.5,306.437,M,-34.038,M,6.0,0131*76
17:20:44.803875,81,$GPGGA,212044.00,4226.86514356,N,07628.54719865,W,2,12,1.5,306.437,M,-34.038,M,6.0,0131*76
17:20:44.869457,80,$GPGGA,212044.00,4226.86514356,N,07628.54719865,W,2,12,1.5,306.437,M,-34.038,M,6.0,0131*76
17:20:44.939060,81,$GPGGA,212044.00,4226.86514356,N,07628.54719865,W,2,12,1.5,306.437,M,-34.038,M,6.0,0131*76
17:20:45.004554,81,$GPGGA,212044.00,4226.86514356,N,07628.54719865,W,2,12,1.5,306.437,M,-34.038,M,6.0,0131*76
17:20:45.074205,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.139758,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.209582,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.275024,80,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.344492,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.410050,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.479684,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.545196,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.614865,80,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.680503,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.750037,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.815499,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.885158,80,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:45.954835,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:46.020341,81,$GPGGA,212045.00,4226.86515164,N,07628.54719997,W,2,12,1.5,306.423,M,-34.038,M,7.0,0131*7D
17:20:46.089969,80,$GPGGA,212046.00,4226.86515440,N,07628.54720051,W,2,12,1.5,306.418,M,-34.038,M,4.0,0131*7F
17:20:46.155511,81,$GPGGA,212046.00,4226.86515440,N,07628.54720051,W,2,12,1.5,306.418,M,-34.038,M,4.0,0131*7F
17:20:46.221041,82,$GPGGA,212046.00,4226.86515440,N,07628.54720051,W,2,12,1.5,306.418,M,-34.038,M,4.0,0131*7F
17:20:46.291103,81,$GPGGA,212046.00,4226.86515440,N,07628.54720051,W,2,12,1.5,306.418,M,-34.038,M,4.0,0131*7F
17:20:46.356163,81,$GPGGA,212046.00,4226.86515440,N,07628.54720051,W,2,12,1.5,306.418,M,-34.038,M,4.0,0131*7F
17:20:46.426130,81,$GPGGA,212046.00,4226.86515440,N,07628.54720051,W,2,12,1.5,306.418,M,-34.038,M,4.0,0131*7F
17:20:46.491435,81,$GPGGA,212046.00,4226.86515440,N,07628.54720051,W,2,12,1.5,306.418,M,-34.038,M,4.0,0131*7F
