Logger,Chenxi,Field #,1,Row #,2
2022-05-24_11:45:30,23,cm
2022-05-24_11:45:31,23,cm
2022-05-24_11:45:32,24,cm
2022-05-24_11:45:33,46,cm
2022-05-24_11:45:34,40,cm
2022-05-24_11:45:35,53,cm
2022-05-24_11:45:36,39,cm
2022-05-24_11:45:37,49,cm
2022-05-24_11:45:38,49,cm
2022-05-24_11:45:39,29,cm
2022-05-24_11:45:40,29,cm
2022-05-24_11:45:41,26,cm
2022-05-24_11:45:42,30,cm
2022-05-24_11:45:43,20,cm
2022-05-24_11:45:44,52,cm
2022-05-24_11:45:45,28,cm
2022-05-24_11:45:46,23,cm
2022-05-24_11:45:47,24,cm
2022-05-24_11:45:48,26,cm
2022-05-24_11:45:49,27,cm
2022-05-24_11:45:50,26,cm
2022-05-24_11:45:51,24,cm
2022-05-24_11:45:52,23,cm
2022-05-24_11:45:53,20,cm
2022-05-24_11:45:54,18,cm
2022-05-24_11:45:55,17,cm
2022-05-24_11:45:56,17,cm
2022-05-24_11:45:57,18,cm
2022-05-24_11:45:58,20,cm
2022-05-24_11:45:59,238,cm
2022-05-24_11:46:00,51,cm
2022-05-24_11:46:01,305,cm
2022-05-24_11:46:02,20,cm
2022-05-24_11:46:03,18,cm
2022-05-24_11:46:04,13,cm
2022-05-24_11:46:05,13,cm
2022-05-24_11:46:06,13,cm
2022-05-24_11:46:07,47,cm
2022-05-24_11:46:08,252,cm
2022-05-24_11:46:09,262,cm
2022-05-24_11:46:10,227,cm
2022-05-24_11:46:11,229,cm
2022-05-24_11:46:12,228,cm
2022-05-24_11:46:13,229,cm
2022-05-24_11:46:14,229,cm
2022-05-24_11:46:15,228,cm
2022-05-24_11:46:16,227,cm
2022-05-24_11:46:17,228,cm
2022-05-24_11:46:18,228,cm
2022-05-24_11:46:19,230,cm
2022-05-24_11:46:20,229,cm
2022-05-24_11:46:21,229,cm
2022-05-24_11:46:22,229,cm
2022-05-24_11:46:23,228,cm
2022-05-24_11:46:24,229,cm
2022-05-24_11:46:25,228,cm
2022-05-24_11:46:26,228,cm
2022-05-24_11:46:27,228,cm
2022-05-24_11:46:28,227,cm
2022-05-24_11:46:29,228,cm
2022-05-24_11:46:30,229,cm
2022-05-24_11:46:31,228,cm
2022-05-24_11:46:32,228,cm
2022-05-24_11:46:33,228,cm
2022-05-24_11:46:34,228,cm
2022-05-24_11:46:35,228,cm
2022-05-24_11:46:36,227,cm
2022-05-24_11:46:37,228,cm
2022-05-24_11:46:38,229,cm
2022-05-24_11:46:39,228,cm
2022-05-24_11:46:40,227,cm
2022-05-24_11:46:41,228,cm
2022-05-24_11:46:42,228,cm
2022-05-24_11:46:43,228,cm
2022-05-24_11:46:44,229,cm
2022-05-24_11:46:45,228,cm
2022-05-24_11:46:46,228,cm
