Logger,Chenxi,Field #,2,Row #,6
2022-05-23_23:36:46,19,cm
2022-05-23_23:36:47,19,cm
2022-05-23_23:36:48,19,cm
2022-05-23_23:36:49,19,cm
2022-05-23_23:36:50,24,cm
2022-05-23_23:36:51,40,cm
2022-05-23_23:36:52,42,cm
2022-05-23_23:36:53,55,cm
2022-05-23_23:36:54,66,cm
2022-05-23_23:36:55,70,cm
2022-05-23_23:36:56,71,cm
2022-05-23_23:36:57,70,cm
2022-05-23_23:36:58,75,cm
2022-05-23_23:36:59,74,cm
2022-05-23_23:37:00,71,cm
2022-05-23_23:37:01,62,cm
2022-05-23_23:37:02,66,cm
2022-05-23_23:37:03,62,cm
2022-05-23_23:37:04,61,cm
2022-05-23_23:37:05,61,cm
2022-05-23_23:37:06,55,cm
2022-05-23_23:37:07,54,cm
2022-05-23_23:37:08,53,cm
2022-05-23_23:37:09,43,cm
2022-05-23_23:37:10,37,cm
2022-05-23_23:37:11,34,cm
2022-05-23_23:37:12,35,cm
2022-05-23_23:37:13,34,cm
2022-05-23_23:37:14,47,cm
2022-05-23_23:37:15,78,cm
2022-05-23_23:37:16,78,cm
2022-05-23_23:37:17,78,cm
2022-05-23_23:37:18,72,cm
2022-05-23_23:37:19,39,cm
2022-05-23_23:37:20,38,cm
2022-05-23_23:37:21,37,cm
2022-05-23_23:37:22,34,cm
