Lidar Time,Height (cm),Log Format,GPS UTC Time,Latitude,Latitude Direction,Longitude,Longitude Direction,GPS Quality Indicator,# sats,hdop,alt,a-units,undulation,u-units,age,stn ID & Check Sum
17:38:37.059130,1,$GPGGA,213836.00,4226.86218822,N,07628.54758905,W,2,16,1.3,314.512,M,-34.038,M,6.0,0131*7C
17:38:37.060753,81,$GPGGA,213836.00,4226.86218822,N,07628.54758905,W,2,16,1.3,314.512,M,-34.038,M,6.0,0131*7C
17:38:37.062444,81,$GPGGA,213836.00,4226.86218822,N,07628.54758905,W,2,16,1.3,314.512,M,-34.038,M,6.0,0131*7C
17:38:37.065302,81,$GPGGA,213836.00,4226.86218822,N,07628.54758905,W,2,16,1.3,314.512,M,-34.038,M,6.0,0131*7C
17:38:37.068467,80,$GPGGA,213836.00,4226.86218822,N,07628.54758905,W,2,16,1.3,314.512,M,-34.038,M,6.0,0131*7C
17:38:37.069994,80,$GPGGA,213836.00,4226.86218822,N,07628.54758905,W,2,16,1.3,314.512,M,-34.038,M,6.0,0131*7C
17:38:37.071601,81,$GPGGA,213836.00,4226.86218822,N,07628.54758905,W,2,16,1.3,314.512,M,-34.038,M,6.0,0131*7C
17:38:37.073399,82,$GPGGA,213836.00,4226.86218822,N,07628.54758905,W,2,16,1.3,314.512,M,-34.038,M,6.0,0131*7C
17:38:37.075055,81,$GPGGA,213836.00,4226.86218822,N,07628.54758905,W,2,16,1.3,314.512,M,-34.038,M,6.0,0131*7C
17:38:37.076692,82,$GPGGA,213836.00,4226.86218822,N,07628.54758905,W,2,16,1.3,314.512,M,-34.038,M,6.0,0131*7C
17:38:37.078361,82,$GPGGA,213836.00,4226.86218822,N,07628.54758905,W,2,16,1.3,314.512,M,-34.038,M,6.0,0131*7C
17:38:37.082659,83,$GPGGA,213837.00,4226.86220133,N,07628.54758186,W,2,16,1.3,314.470,M,-34.038,M,7.0,0131*78
17:38:37.084913,82,$GPGGA,213837.00,4226.86220133,N,07628.54758186,W,2,16,1.3,314.470,M,-34.038,M,7.0,0131*78
17:38:37.087631,81,$GPGGA,213837.00,4226.86220133,N,07628.54758186,W,2,16,1.3,314.470,M,-34.038,M,7.0,0131*78
