Lidar Time,Height (cm),Log Format,GPS UTC Time,Latitude,Latitude Direction,Longitude,Longitude Direction,GPS Quality Indicator,# sats,hdop,alt,a-units,undulation,u-units,age,stn ID & Check Sum
17:30:15.609049,82,$GPGGA,213015.00,4226.86415190,N,07628.54703911,W,2,16,1.2,308.431,M,-34.038,M,7.0,0131*78
17:30:15.674572,83,$GPGGA,213015.00,4226.86415190,N,07628.54703911,W,2,16,1.2,308.431,M,-34.038,M,7.0,0131*78
17:30:15.744170,82,$GPGGA,213015.00,4226.86415190,N,07628.54703911,W,2,16,1.2,308.431,M,-34.038,M,7.0,0131*78
17:30:15.809771,82,$GPGGA,213015.00,4226.86415190,N,07628.54703911,W,2,16,1.2,308.431,M,-34.038,M,7.0,0131*78
17:30:15.875283,82,$GPGGA,213015.00,4226.86415190,N,07628.54703911,W,2,16,1.2,308.431,M,-34.038,M,7.0,0131*78
17:30:15.944943,82,$GPGGA,213015.00,4226.86415190,N,07628.54703911,W,2,16,1.2,308.431,M,-34.038,M,7.0,0131*78
17:30:16.010469,82,$GPGGA,213015.00,4226.86415190,N,07628.54703911,W,2,16,1.2,308.431,M,-34.038,M,7.0,0131*78
17:30:16.080037,83,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.145621,82,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.211082,82,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.280708,82,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.346295,82,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.415871,83,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.481477,82,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.551049,82,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.616590,82,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.682134,83,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.751755,83,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.817313,83,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.882840,84,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:16.952440,82,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:17.018007,82,$GPGGA,213016.00,4226.86414472,N,07628.54703631,W,2,16,1.2,308.442,M,-34.038,M,4.0,0131*79
17:30:17.087554,82,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.153157,83,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.218654,82,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.288295,83,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.353821,83,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.419357,84,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.484878,83,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.554558,84,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.620116,84,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.685855,83,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.755236,84,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.820891,84,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.886331,84,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
17:30:17.955965,84,$GPGGA,213017.00,4226.86414050,N,07628.54703474,W,2,16,1.2,308.450,M,-34.038,M,5.0,0131*7D
