Logger,Chenxi,Field #,5,Row #,12
2022-05-24_09:15:43,246,cm
2022-05-24_09:15:44,246,cm
2022-05-24_09:15:45,245,cm
2022-05-24_09:15:46,245,cm
2022-05-24_09:15:47,28,cm
2022-05-24_09:15:48,24,cm
2022-05-24_09:15:49,24,cm
2022-05-24_09:15:50,24,cm
2022-05-24_09:15:51,22,cm
2022-05-24_09:15:52,22,cm
2022-05-24_09:15:53,22,cm
2022-05-24_09:15:54,21,cm
2022-05-24_09:15:55,246,cm
2022-05-24_09:15:56,100,cm
2022-05-24_09:15:57,45,cm
2022-05-24_09:15:58,42,cm
2022-05-24_09:15:59,43,cm
2022-05-24_09:16:00,39,cm
2022-05-24_09:16:01,41,cm
2022-05-24_09:16:02,243,cm
2022-05-24_09:16:03,244,cm
2022-05-24_09:16:04,244,cm
2022-05-24_09:16:05,245,cm
2022-05-24_09:16:06,244,cm
2022-05-24_09:16:07,92,cm
2022-05-24_09:16:08,51,cm
2022-05-24_09:16:09,7,cm
2022-05-24_09:16:10,8,cm
2022-05-24_09:16:11,10,cm
2022-05-24_09:16:12,8,cm
2022-05-24_09:16:13,9,cm
2022-05-24_09:16:14,10,cm
2022-05-24_09:16:15,21,cm
2022-05-24_09:16:16,91,cm
2022-05-24_09:16:17,244,cm
2022-05-24_09:16:18,244,cm
2022-05-24_09:16:19,244,cm
2022-05-24_09:16:20,244,cm
2022-05-24_09:16:21,244,cm
2022-05-24_09:16:22,245,cm
2022-05-24_09:16:23,243,cm
2022-05-24_09:16:24,55,cm
2022-05-24_09:16:25,247,cm
2022-05-24_09:16:26,246,cm
2022-05-24_09:16:27,15,cm
2022-05-24_09:16:28,20,cm
2022-05-24_09:16:29,242,cm
2022-05-24_09:16:30,243,cm
2022-05-24_09:16:31,246,cm
2022-05-24_09:16:32,244,cm
2022-05-24_09:16:33,232,cm
2022-05-24_09:16:34,232,cm
2022-05-24_09:16:35,230,cm
2022-05-24_09:16:36,137,cm
2022-05-24_09:16:37,30,cm
2022-05-24_09:16:38,35,cm
2022-05-24_09:16:39,236,cm
2022-05-24_09:16:40,19,cm
2022-05-24_09:16:41,214,cm
2022-05-24_09:16:42,18,cm
2022-05-24_09:16:43,19,cm
2022-05-24_09:16:44,244,cm
2022-05-24_09:16:45,19,cm
2022-05-24_09:16:46,34,cm
2022-05-24_09:16:47,266,cm
2022-05-24_09:16:48,41,cm
2022-05-24_09:16:49,37,cm
2022-05-24_09:16:50,40,cm
2022-05-24_09:16:51,42,cm
2022-05-24_09:16:52,34,cm
2022-05-24_09:16:53,24,cm
2022-05-24_09:16:54,31,cm
2022-05-24_09:16:55,15,cm
2022-05-24_09:16:56,10,cm
