Lidar Time,Height (cm),Log Format,GPS UTC Time,Latitude,Latitude Direction,Longitude,Longitude Direction,GPS Quality Indicator,# sats,hdop,alt,a-units,undulation,u-units,age,stn ID & Check Sum
17:42:44.937422,83,$GPGGA,214244.00,4226.86356874,N,07628.54753449,W,2,15,1.6,310.746,M,-34.038,M,7.0,0131*72
17:42:45.007078,82,$GPGGA,214244.00,4226.86356874,N,07628.54753449,W,2,15,1.6,310.746,M,-34.038,M,7.0,0131*72
17:42:45.072635,82,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.138103,82,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.207704,82,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.273347,84,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.343149,82,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.408408,83,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.478054,83,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.543624,83,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.609755,82,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.679628,82,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.744298,82,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.814036,82,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.879474,82,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:45.945105,83,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:46.014696,82,$GPGGA,214245.00,4226.86357685,N,07628.54753076,W,2,15,1.6,310.727,M,-34.038,M,7.0,0131*7D
17:42:46.080256,83,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
17:42:46.149882,82,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
17:42:46.215456,82,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
17:42:46.285081,82,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
17:42:46.350608,82,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
17:42:46.420139,82,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
17:42:46.485769,82,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
17:42:46.551254,82,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
17:42:46.620875,83,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
17:42:46.686382,81,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
17:42:46.756065,82,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
17:42:46.821512,82,$GPGGA,214246.00,4226.86357454,N,07628.54752991,W,2,15,1.6,310.727,M,-34.038,M,4.0,0131*72
